"","temp","mean_VCO2_min_g","mean_mass"
"1","24",0.00137046674593638,0.241625329279679
"2","26",0.00152112940210318,0.241387805882108
"3","28",0.00175381880054186,0.240803195764997
"4","30",0.00208899704572905,0.245705866106808
"5","32",0.00245207137736014,0.23950053791939
"6","34",0.00265128572757764,0.239309612893762
