,Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_.day.m.year..,egg_date,hatch_date,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,egg_mass_final,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes,dev_time,days_alive,yr_post_hatch_mortality
572,EG345_20,LD345_20,"""0023""",Box 1.25,f,CL101_20,E046_M,,E029_F120,delicata,C-23,C,23,0,ALIVE,2020/21,16/11/2020,16/11/2020,31/12/2020,,0.138,8.12,5.56,NA,0.138,NA,0.107,17.88,22.921,40.801,NA,,45,NA,NA
573,EG348_20,LD348_20,"""0303""",Box 1.26,f,CL102_20,E016_M,,E050_F120,delicata,C-28,C,28,0,ALIVE,2020/21,17/11/2020,17/11/2020,18/12/2020,,0.133,7.7,5.72,NA,0.133,NA,0.099,17.614,21.022,38.636,NA,,31,NA,NA
574,EG349_20,LD349_20,"""2005""",Box 1.25,f,CL102_20,E016_M,,E027_F120,delicata,C-23,C,23,0,ALIVE,2020/21,17/11/2020,17/11/2020,3/1/2021,,0.121,7.24,5.56,NA,0.121,NA,0.092,17.88,22.698,40.578,NA,,47,NA,NA
575,EG353_20,LD353_20,"""2303""",Box 1.25,f,CL103_20,E031_M,,E029_F120,delicata,C-28,C,28,0,ALIVE,2020/21,17/11/2020,17/11/2020,17/12/2020,,0.152,7.68,5.82,NA,0.152,NA,0.104,16.95,23.672,40.622,NA,,30,NA,NA
576,EG356_20,LD356_20,"""0320""",Box 1.28,m,CL104_20,E049_M,,,delicata,C-23,C,23,0,ALIVE,2020/21,18/11/2020,18/11/2020,3/1/2021,,0.132,8.44,5.12,NA,0.132,NA,0.115,17.565,NA,NA,NA,tail tip is invisible,46,NA,NA
577,EG357_20,LD357_20,"""3005""",Box 1.27,f,CL104_20,E049_M,,E047_F120,delicata,C-28,C,28,0,ALIVE,2020/21,18/11/2020,18/11/2020,18/12/2020,,0.122,7.7,5.11,NA,0.122,NA,0.111,18.013,25.154,43.167,NA,,30,NA,NA
578,EG362_20,LD362_20,"""0330""",Box 1.27,f,CL105_20,E067_M,,E046_F120,delicata,C-23,C,23,0,ALIVE,2020/21,18/11/2020,18/11/2020,2/1/2021,,0.136,8.29,5.4,NA,0.136,NA,0.097,18.22,21.089,39.309,NA,,45,NA,NA
579,EG363_20,NA,,,,CL105_20,E067_M,,,delicata,C-28,C,28,1,DEAD,2020/21,18/11/2020,18/11/2020,NA,,0.142,8.42,5.54,NA,0.142,NA,NA,NA,NA,,18/12/2020,egg died 18/12/20; embryo,NA,NA,NA
580,EG366_20,LG366_20,"""0240""",Box 1.25,,CL106_20,E050_M,,E028_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,18/11/2020,18/11/2020,8/1/2021,,0.176,8.66,6.03,NA,0.176,NA,0.142,19.377,NA,NA,NA,tail tip is invisible,51,NA,NA
581,EG369_20,LD369_20,"""3400""",Box 1.28,m,CL108_20,E048_M,NA,E053_F120,delicata,C-28,C,28,0,ALIVE,2020/21,20/11/2020,20/11/2020,19/12/2020,,0.133,8.46,5.19,NA,0.133,NA,0.11,17.73,24.151,41.881,NA,,29,NA,NA
