,Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_.day.m.year..,egg_date,hatch_date,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,egg_mass_final,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes,dev_time,days_alive,yr_post_hatch_mortality
627,EG487_20,LD487_20,"""0202""",Box 1.26,f,CL143_20,E018_M,,E036_F120,delicata,C-23,C,23,0,ALIVE,2020/21,4/12/2020,4/12/2020,21/1/2021,,0.121,7.46,5.34,NA,0.121,NA,0.118,18.389,22.497,40.886,NA,,48,NA,NA
628,EG491_20,LD491_20,,Box 1.23,,CL145_20,E011_M,,,delicata,C-23,C,23,0,ALIVE,2020/21,4/12/2020,4/12/2020,18/1/2021,,0.218,8.69,6.76,NA,0.218,NA,0.121,17.23,25.503,42.733,NA,Lost tail during feeding assay ,45,NA,NA
629,EG492_20,LD492_20,"""0550""",Box 1.28,f,CL146_20,E016_M,,E033_F120,delicata,C-23,C,23,0,ALIVE,2020/21,7/12/2020,7/12/2020,26/1/2021,,0.152,9.17,5.59,NA,0.152,NA,0.12,17.984,24.721,42.705,NA,,50,NA,NA
630,EG493_20,LD493_20,"""25(13)0""",Box 1.25,f,CL146_20,E016_M,,E020_M,delicata,C-28,C,28,0,ALIVE,2020/21,7/12/2020,7/12/2020,7/1/2021,,0.139,9.05,5.19,NA,0.139,NA,0.124,17.979,25.417,43.396,NA,,31,NA,NA
631,EG496_20,LD496_20,"""(15)03(23)""",Box 1.24,,CL147_20,E024_M,,E020_F120,delicata,C-28,C,28,0,ALIVE,2020/21,7/12/2020,7/12/2020,29/12/2020,,0.235,8.03,7.05,NA,0.235,NA,0.124,18.369,23.533,41.902,NA,,22,NA,NA
632,EG498_20,LD498_20,"""0024""",Box 1.28,f,CL148_20,E028_M,,E052_F120,delicata,C-23,C,23,0,ALIVE,2020/21,7/12/2020,7/12/2020,21/1/2021,,0.17,8.2,6.16,NA,0.17,NA,0.102,17.932,24.616,42.548,NA,,45,NA,NA
633,EG501_20,LD501_20,"""0045""",Box 1.26,f,CL148_20,E028_M,,E050_F120,delicata,C-23,C,23,0,ALIVE,2020/21,7/12/2020,7/12/2020,23/1/2021,,0.176,8.5,6.19,NA,0.176,NA,0.117,19.092,26.05,45.142,NA,,47,NA,NA
634,EG502_20,LD502_20,"""3(All)04""",Box 1.26,,CL149_20,E010_M,,E034_F120,delicata,C-23,C,23,0,ALIVE,2020/21,7/12/2020,7/12/2020,24/1/2021,,0.135,7.38,6,NA,0.135,NA,0.108,18.436,23.702,42.138,NA,,48,NA,NA
635,EG503_20,LD503_20,"""0(13)30""",Box 1.25,f,CL149_20,E010_M,,E029_F120,delicata,C-28,C,28,0,ALIVE,2020/21,7/12/2020,7/12/2020,5/1/2021,,0.128,7.43,5.69,NA,0.128,NA,0.093,17.646,22.48,40.126,NA,,29,NA,NA
636,EG508_20,LD508_20,"""0110""",Box 1.28,m,CL150_20,E021_M,,,delicata,C-28,C,28,0,ALIVE,2020/21,7/12/2020,7/12/2020,6/1/2021,,0.161,7.64,6.37,NA,0.161,NA,0.111,17.392,20.024,37.416,NA,"lost tail, in the photo is in the side",30,NA,NA
637,EG509_20,LD509_20,"""4001""",Box 1.26/Box 1.28,m,CL150_20,E021_M,,E033_F120,delicata,C-23,C,23,0,ALIVE,2020/21,7/12/2020,7/12/2020,25/1/2021,,0.158,8.14,6.21,NA,0.158,NA,0.086,17.244,23.421,40.665,NA,,49,NA,NA
638,EG514_20,LD514_20,"""0420""",Box 1.27,f,CL151_20,E030_M,,E048_F120,delicata,C-28,C,28,0,ALIVE,2020/21,7/12/2020,7/12/2020,6/1/2021,,0.134,7.78,5.57,NA,0.134,NA,0.127,18.726,24.207,42.933,NA,,30,NA,NA
639,EG515_20,LD515_20,"""0033""",Box 1.26,m,CL151_20,E030_M,,E038_F120,delicata,C-23,C,23,0,ALIVE,2020/21,7/12/2020,7/12/2020,22/1/2021,,0.126,7.81,5.54,NA,0.126,NA,0.093,18.311,23.505,41.816,NA,,46,NA,NA
640,EG517_20,LD517_20,"""0240""",Box 1.26,f,CL152_20,E019_M,,E051_F120,delicata,C-23,C,23,0,ALIVE,2020/21,7/12/2020,7/12/2020,25/1/2021,,0.14,8.28,5.79,NA,0.14,NA,0.088,18.441,24.47,42.911,NA,,49,NA,NA
641,EG518_20,LD518_20,"""3010""",Box 1.27,f,CL152_20,E019_M,,E048_F120,delicata,C-28,C,28,0,ALIVE,2020/21,7/12/2020,7/12/2020,6/1/2021,,0.141,8.42,5.76,NA,0.141,NA,0.106,17.612,24.244,41.856,NA,,30,NA,NA
642,EG522_20,LD522_20,"""5100""",Box 1.26,m,CL153_20,E012_M,,E041_F120,delicata,C-28,C,28,0,ALIVE,2020/21,7/12/2020,7/12/2020,6/1/2021,,0.149,9.5,5.45,NA,0.149,NA,0.132,18.105,26.128,44.233,NA,,30,NA,NA
643,EG526_20,LD526_20,"""0150""",Box 1.26,m,CL154_20,E014_M,,,delicata,C-23,C,23,0,ALIVE,2020/21,7/12/2020,7/12/2020,24/1/2021,,0.145,8.18,6.19,NA,0.145,NA,0.111,17.644,23.816,41.46,NA,,48,NA,NA
644,EG527_20,LD527_20,"""5400""",Box 1.27,m,CL154_20,E014_M,,E052_F120,delicata,C-28,C,28,0,ALIVE,2020/21,7/12/2020,7/12/2020,5/1/2021,,0.155,8.3,6.11,NA,0.155,NA,0.112,19.174,24.144,43.318,NA,,29,NA,NA
645,EG528_20,NA,,,,CL155_20,E031_M,,,delicata,C-23,C,23,1,DEAD,2020/21,7/12/2020,7/12/2020,NA,,0.137,8.01,5.67,NA,0.137,NA,NA,NA,NA,,24/1/2021,Egg died 24/1/21- full embryo,NA,NA,NA
646,EG532_20,LD532_20,"""04(34)4""",Box 1.25,,CL155_20,E031_M,,E025_F120,delicata,C-28,C,28,0,ALIVE,2020/21,7/12/2020,7/12/2020,4/1/2021,,0.143,8.01,6.17,NA,0.143,NA,0.108,16.881,24.463,41.344,NA,,28,NA,NA
647,EG536_20,LG536_20,"""5020""",Box 1.26,f,CL157_20,E003_M,,E031_F120,guichenoti,C-28,C,28,0,ALIVE,2020/21,9/12/2020,9/12/2020,7/1/2021,,0.224,8.53,7.01,NA,0.224,NA,0.174,20.904,26.291,47.195,NA,,29,NA,NA
648,EG539_20,LD539_20,"""0042""",Box 1.27,f,CL158_20,E018_M,,E043_F120,delicata,C-23,C,23,0,ALIVE,2020/21,9/12/2020,9/12/2020,27/1/2021,,0.12,8.13,5.01,NA,0.12,NA,0.121,18.589,23.289,41.878,NA,,49,NA,NA
649,EG547_20,LG547_20,"""0040""",Box 1.28,m,CL160_20,E004_M,,E059_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,11/12/2020,11/12/2020,1/2/2021,,0.208,9.22,6.92,NA,0.208,NA,0.159,20.345,24.385,44.73,NA,,52,NA,NA
650,EG560_20,LG560_20,"""(All)43(235)""",Box 1.26,m,CL164_20,E001_M,,E0.,guichenoti,C-23,C,23,0,ALIVE,2020/21,13/12/2020,13/12/2020,4/2/2021,,0.15,9.88,5.26,NA,0.15,NA,0.131,19.405,22.898,42.303,NA,,53,NA,NA
651,EG564_20,LG564_20,"""0501""",Box 1.28,f,CL165_20,E002_M,,E059_F120,guichenoti,C-28,C,28,0,ALIVE,2020/21,18/12/2020,18/12/2020,18/1/2021,,0.196,8.93,6.7,0.178,0.196,0.091836735,0.146,18.16,23.332,41.492,NA,,31,NA,NA
652,EG565_20,LG565_20,"""2010""",Box 1.28,m,CL166_20,E002_M,,E060_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,18/12/2020,18/12/2020,12/2/2021,,0.142,9.77,5.21,NA,0.142,NA,0.157,20.113,24.631,44.744,NA,not good egg really odd looking,56,NA,NA
653,EG568_20,LD568_20,"""4003""",Box 1.26,f,CL167_20,E043_M,,E036_F120,delicata,C-28,C,28,0,ALIVE,2020/21,18/12/2020,18/12/2020,14/1/2021,,0.175,8.58,6.33,NA,0.175,NA,0.114,17.197,23.642,40.839,NA,"Note that this was said to be a guich, but is a delicata",27,NA,NA
654,EG582_20,LG582_20,"""3450""",Box 1.28,f,CL171_20,E001_M,,E057_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,22/12/2020,22/12/2020,10/2/2021,,0.204,8.02,6.65,NA,0.204,0.145,NA,19.194,NA,NA,NA,tail tip is invisible,50,NA,NA
655,EG588_20,NA,,,,CL173_20,E003_M,,,guichenoti,C-28,C,28,1,DEAD,2020/21,29/12/2020,29/12/2020,NA,,0.208,8.73,6.36,NA,0.208,,NA,NA,NA,,23/1/2021,"egg died 23/1/21, but it was all dried up. So remove from survival",NA,NA,NA
