0,0.101
13,0.16
19,0.182
26,0.1945
33,0.227
46,0.307
63,0.364
89,0.482
91,0.451
125,0.629
203,1.149
241,1.344
277,1.436
0,0.105
13,0.142
19,0.176
26,0.19
33,0.25
46,0.314
63,0.395
89,0.448
91,0.421
125,0.548
203,0.803
241,0.94
277,0.916
0,0.113
12,0.19
18,0.214
24,0.219
26,0.214
30,0.263
48,0.305
74,0.395
110,0.492
188,0.883
223,1.248
262,1.275
0,0.109
13,0.172
15,0.172
17,0.2055
19,0.239
19,0.239
31,0.252
31,0.2445
67,0.395
156,0.99
186,1.301
233,1.627
285,1.941
0,0.112
14,0.17
16,0.17
18,0.198
20,0.226
20,0.226
32,0.295
42,0.328
51,0.3125
53,0.288
109,0.512
157,0.766
189,1.025
236,1.309
304,1.631
7,0.2
14,0.205
21,0.255
28,0.248
28,0.2495
30,0.248
32,0.2435
44,0.362
55,0.447
70,0.474
72,0.516
86,0.592
99,0.66
143,0.885
152,0.82
169,0.986
193,1.04
0,0.136
14,0.191
16,0.191
18,0.2175
20,0.244
20,0.244
29,0.268
33,0.2405
35,0.2495
80,0.315
150,0.737
180,1.011
227,1.32
279,1.637
0,0.126
12,0.17
14,0.17
16,0.2025
18,0.235
18,0.235
31,0.2175
33,0.208
33,0.223
44,0.3
80,0.406
150,0.776
181,0.784
227,0.945
309,1.454
0,0.102
9,0.149
11,0.149
13,0.1735
15,0.198
15,0.198
27,0.216
29,0.2245
30,0.229
84,0.532
164,1.15
205,1.265
236,1.285
0,0.126
14,0.164
16,0.164
18,0.214
20,0.264
20,0.264
25,0.206
25,0.2185
27,0.196
29,0.2165
57,0.479
169,1.025
201,1.272
248,1.641
316,1.987
0,0.13
8,0.184
10,0.184
12,0.203
14,0.222
14,0.222
29,0.293
66,0.448
100,0.529
102,0.5225
142,0.76
172,0.988
219,1.14
258,1.312
0,0.131
10,0.204
14,0.2195
16,0.235
16,0.235
22,0.206
24,0.2035
34,0.288
45,0.32
86,0.472
167,0.736
199,0.913
244,1.018
296,1.283
0,0.146
14,0.173
16,0.173
18,0.207
20,0.241
20,0.241
29,0.29
43,0.433
48,0.3915
50,0.381
116,0.656
150,0.908
182,1.236
227,2.011
279,1.913
0,0.106
9,0.179
13,0.1925
15,0.206
15,0.206
22,0.185
22,0.195
24,0.1635
26,0.1835
44,0.314
98,0.487
178,1.068
219,1.139
250,1.213
0,0.093
9,0.128
11,0.128
13,0.1425
15,0.157
15,0.157
32,0.246
36,0.2085
38,0.2055
75,0.298
97,0.338
147,0.561
178,0.616
224,0.806
306,1.323
0,0.113
10,0.183
12,0.183
14,0.2065
16,0.23
16,0.23
33,0.331
37,0.279
39,0.2865
44,0.31
78,0.393
148,0.635
179,0.646
225,0.782
307,1.225
0,0.114
16,0.192
18,0.192
20,0.236
22,0.28
22,0.28
25,0.2585
27,0.2485
29,0.216
31,0.31
42,0.29
77,0.419
155,0.837
171,0.978
183,0.852
217,1.107
227,0.855
250,1.144
260,0.857
381,2.119
0,0.113
10,0.184
12,0.184
14,0.207
16,0.23
16,0.23
33,0.342
36,0.303
38,0.29
44,0.317
94,0.571
139,0.891
172,0.961
218,0.929
253,0.992
0,0.131
9,0.164
11,0.164
13,0.1965
15,0.229
15,0.229
33,0.324
36,0.29
38,0.2925
60,0.4
122,0.705
159,0.844
199,0.951
234,0.918
0,0.102
13,0.156
15,0.156
17,0.1865
19,0.217
19,0.217
32,0.245
32,0.227
34,0.211
59,0.384
84,0.491
154,0.897
184,0.975
226,0.984
268,1.049
0,0.125
16,0.228
18,0.228
20,0.264
22,0.3
22,0.3
31,0.375
39,0.3465
41,0.3355
43,0.385
77,0.523
151,0.991
180,1.031
222,1.045
255,1.052
0,0.12
13,0.183
15,0.183
17,0.1995
19,0.216
19,0.216
33,0.275
46,0.37
74,0.393
90,0.404
92,0.3975
148,0.649
180,0.691
224,0.682
257,0.748
0,0.123
12,0.159
14,0.159
16,0.2075
18,0.256
18,0.256
29,0.338
44,0.296
46,0.2855
47,0.278
50,0.328
148,0.824
186,0.899
225,0.888
337,1.534
0,0.097
12,0.108
14,0.108
16,0.13
18,0.152
18,0.152
29,0.202
46,0.206
47,0.1985
50,0.252
141,0.453
173,0.628
220,0.995
288,1.141
0,0.075
13,0.125
15,0.125
17,0.137
